wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total
5gG5eAkNkqmYD2Bfiet5DAtDzSUKgH35oMdp3esP58ww,1785083473,2026-07-26T16:31:13Z,12920.3569199669,1785161282,2026-07-27T14:08:02Z,8,34,8.143037563,20.143568303,6513305.991311999,6513305.991312001,0,12.000530740000002,893.7995295152002,1296.82,True,42
AXAJSuxtNDis9u3dCTaMMquiyFrcxAfbcMWdwh8GEPgN,1785083149,2026-07-26T16:25:49Z,15211.230695913562,1785815019,2026-08-04T03:43:39Z,6,13,1.4641481709999997,13.449932235,3045032.0536959996,3045032.0536959986,0,11.985784063999997,892.7011970867198,12197.83,True,19
JNRocsoxuUaHVb6X2ZPEtW4QcRQ7yzeDKtyZ6EqLaMk,1785083146,2026-07-26T16:25:46Z,13713.350132366404,1787454684,2026-08-23T03:11:24Z,4,31,4.3416178080000005,14.783055354000004,8551736.091537999,8551736.091538,0,10.441437545999998,777.6782684260799,39525.63,True,35
881BBEiWCFWCB2AHnQpC1TkH6rYw2yWJQzFhrZf2nEz7,1785083468,2026-07-26T16:31:08Z,11731.673926011736,1787599862,2026-08-24T19:31:02Z,44,31,20.86866136,30.270066601,457539.6810760001,466371.12556500005,0,9.401405241,700.2166623496801,41939.9,True,75
814g5NDkNMPcMFCugzG3jtqEn8cKBNc2VQLnavW4RzEL,1785083401,2026-07-26T16:30:01Z,9720.680046985313,1785087148,2026-07-26T17:32:28Z,9,8,16.111071704999997,25.249619539999998,18808014.850489,18808014.850489,0,9.138547834999997,680.6390427507998,62.45,True,17
DvdkAF1wtyphLQzNVwMwHFV48SKHTv1QdDddNikWmw1j,1785083473,2026-07-26T16:31:13Z,11455.931176510589,1785083992,2026-07-26T16:39:52Z,1,7,2.5981990799999997,11.393919803,15863980.532509,15863980.532509001,0,8.795720723,655.10527944904,8.65,True,8
BZxtqKj99iYqDZFPxiXtEsCq9ffWPLkFuTkbW4LW23EF,1785083368,2026-07-26T16:29:28Z,3309.032156821194,1787340886,2026-08-21T19:34:46Z,2,4,2.728456208,11.156185109,21221711.114907,33170970.351744,0,8.427728901000002,627.6972485464802,37625.3,True,6
5Hxba5RLWyYwJTvjK6SSFFo4Wet5LU9tP9HnZvh5X324,1785083401,2026-07-26T16:30:01Z,10014.598224121375,1785087139,2026-07-26T17:32:19Z,9,14,15.881667199999999,23.974227608,17352789.217916,17352789.217916,0,8.092560407999997,602.7338991878398,62.3,True,23
GcNY3SXi9JfP3Wj9538vwDenhA6CxURAwZF2rCPXgrCC,1785083200,2026-07-26T16:26:40Z,18025.83498583618,1785268718,2026-07-28T19:58:38Z,44,44,47.357010847000005,55.270746374,57354399.213598,57354399.21359798,0,7.913735527000004,589.4150220509603,3091.97,True,88
F35VF7nWWMRcGrEPXgjsZmNxcz8GLLVGS1S88NkrR5rb,1785083200,2026-07-26T16:26:40Z,18812.757250872277,1785268718,2026-07-28T19:58:38Z,42,44,43.407247773,51.25332426699999,39727179.014413014,39727179.014413,0,7.846076494,584.3757772731201,3091.97,True,86
8Gji1htRRft5CqcyDrHAsieFsCo9uS9FdpGjEQFYQcaU,1785083505,2026-07-26T16:31:45Z,14615.884883265075,1785174655,2026-07-27T17:50:55Z,4,39,0.6539224800000001,8.325902713,652120.9174129999,652120.917413,0,7.671980233,571.40908775384,1519.17,True,43
7FPPD3ddrjPfhRJ7Ktf97c6DDyFVAcbc4Ws9AjH6yXK6,1785083519,2026-07-26T16:31:59Z,16852.15901423938,1785084196,2026-07-26T16:43:16Z,1,3,2.065154062,9.692912524,8577787.149475,8577787.149475,0,7.627758462,568.11545024976,11.28,True,4
FCwWgvAS74FNvQiVZdZmjZkUt25vT5ovtEDDZyRBjJ7w,1785083302,2026-07-26T16:28:22Z,2279.0206681451764,1785083543,2026-07-26T16:32:23Z,1,3,1.01307408,8.274555005,31119343.464865,31119343.464865003,0,7.261480925000001,540.8350992940001,4.02,True,4
7ZGKVUKaqNgWsc1WzXVwvab1N8S7z8oseLuUKK6KNh3C,1785083487,2026-07-26T16:31:27Z,17981.86208668547,1785173350,2026-07-27T17:29:10Z,8,25,5.211422239999999,12.398657287999999,2428044.736457,2428044.736456999,0,7.187235048,535.30526637504,1497.72,True,33
GaB7tX3irT3KTKr2rQPf5GbWMBpPoHj9wH7Pyu6XogTo,1785083473,2026-07-26T16:31:13Z,10680.312930035496,1785083972,2026-07-26T16:39:32Z,1,5,2.47194908,9.531068777,16185992.569658,16185992.569658,0,7.059119697,525.76323503256,8.32,True,6
9jVLi4onbfoRoYmhjKt1Nm3xmaUYR4vVNZ9zqdhic5uy,1785083521,2026-07-26T16:32:01Z,20737.917635521422,1785610689,2026-08-01T18:58:09Z,24,28,50.00146224,56.89317262300001,5209788.066601,5209788.066600999,0,6.891710383000003,513.2945893258402,8786.13,True,52
CGNHBChec8HTAgKRy9KgWh7anKtRpkDh7KAST89nnurD,1785083542,2026-07-26T16:32:22Z,24015.90277465734,1786403272,2026-08-10T23:07:52Z,237,51,5.215439994000003,11.994968958000003,308787.5132119998,308787.5132119999,0,6.779528963999995,504.9393172387197,21995.5,True,288
GqBXzbDjYviRi959rQmxVzCB7UigT3P466opp5M25H65,1785083107,2026-07-26T16:25:07Z,6591.496279378663,1785083536,2026-07-26T16:32:16Z,3,2,5.003086719000001,11.761898603999999,67008377.138110995,67008377.138110995,0,6.758811884999999,503.3963091948,7.15,True,5
2CRdWmdefARgG5XXjhwwLKjaEC8hFbZYTFohtigmmHMd,1785083159,2026-07-26T16:25:59Z,13238.11660424779,1785084183,2026-07-26T16:43:03Z,6,10,12.164074079999999,18.896655967,42513188.94558801,42513188.94558801,0,6.732581886999999,501.44269894376,17.07,True,16
9yHA2HwcsHfjSLZQXPx3eJUQAnbYU3YdbfBuNxkgFQSP,1785083094,2026-07-26T16:24:54Z,3229.1660909132365,1785083184,2026-07-26T16:26:24Z,1,4,1.3604340830000001,7.954677131,29491609.549023,29491609.549023002,0,6.594243048,491.13922221504004,1.5,True,5
