wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_spent,usd_spent,tokens_held_at_window_close,current_onchain_balance,current_usd_value,status
0x8888887a47fc496c8d378843de4c113b771c3b77,2026-08-31T17:24:22Z,75181.5,1,162940.3306,0.00495,12.25,162940.3306,162940.3306,17.43,still holds
0x69730b32070e7289cb1863ba93fa2ec283aeba8d,2026-08-31T17:24:39Z,90776.13,1,161284.6624,0.00591603,14.64,161284.6624,0.0,0.0,exited after window
0x1da6cf11293632c0918b98c8d16afc17f4576f43,2026-08-31T17:50:05Z,77398.18,1,158273.7301,0.00495,12.25,158273.7301,158273.7301,16.94,still holds
0xa9f1ded293d2d205a94f29729f5b174ccf2ca764,2026-08-31T18:40:35Z,56312.17,1,157315.1351,0.00357963,8.86,157315.1351,157315.1351,16.83,still holds
0x51ba52c1b74e4ac379647ec469026fb8776456bc,2026-08-31T17:41:03Z,63666.33,1,153951.4417,0.00396058,9.8,153951.4417,530454.7978,56.76,still holds
0x4c1b54cf0ee4520f4de2b86007fca41c1693c7be,2026-08-31T17:21:00Z,47978.02,1,153196.3793,0.00297,7.35,153196.3793,153196.3793,16.39,still holds
0xdb14dbe700b157368c6a12403b62141c27b5167c,2026-08-31T17:25:07Z,89982.41,2,148173.8354,0.00536242,13.27,148173.8354,0.0,0.0,exited after window
0xbbec52e23a20c5c21afbb2438ac31c3c04ed94ff,2026-08-31T17:46:50Z,82854.84,1,147850.1178,0.00495,12.25,147850.1178,147850.1178,15.82,still holds
0x4992c1166122a1f1e3be81113c08046c025cc1ae,2026-08-31T17:38:03Z,68971.42,1,132968.1325,0.0037058,9.17,132968.1325,132968.1325,14.23,still holds
0x5e19ae944cd8a00844592d75e16f7001ed886d96,2026-08-31T17:24:47Z,94354.8,1,129830.1582,0.00495,12.25,129830.1582,0.0,0.0,exited after window
0x31e50d4adbc1fc9fa42590a61c0e30954d8b4eec,2026-08-31T17:59:00Z,69376.22,1,129199.4878,0.0036219,8.96,129199.4878,0.0,0.0,exited after window
0xd45c8314751789b0cc0246cd1de3ffff643eeab0,2026-08-31T19:44:55Z,96459.01,1,127639.3657,0.004975,12.31,127639.3657,138468.9598,14.82,still holds
0x57da466481ba59032c5589d82b5c73877a8493c5,2026-08-31T18:04:19Z,58018.64,1,126684.4319,0.00297,7.35,126684.4319,0.0,0.0,exited after window
0x64c1a9b67df043cb5e260240201f6000c70b15a4,2026-08-31T18:19:55Z,80273.23,1,124250.1407,0.00403026,9.97,124250.1407,0.0007,0.0,still holds
0x9ca74ef71da9c99717c70a84d2d04a37b959bc8d,2026-08-31T17:41:17Z,64247.11,1,117829.9594,0.00305897,7.57,117829.9594,197284.0826,21.11,still holds
