wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_in,usd_in,n_sells,tokens_sold,eth_out,usd_out,realized_pnl_eth,realized_pnl_usd,tokens_left_at_window_close,current_onchain_balance,current_usd_value,status
0xef0d21f1cdf4aa6e951d4e65de8657090cbd7629,2026-08-31T17:27:27Z,81021.8,1,188028.3963,0.00615589,15.23,1,188028.3963,0.00638847,15.81,0.00023258,0.58,0,0.0,0.0,sold out in window
0x90cf37640d2dd114b044ddcd9e7bdf5d9ccbcfa6,2026-08-31T17:24:17Z,65627.25,1,186661.7773,0.00495,12.25,3,186661.7773,0.00763152,18.89,0.00268152,6.64,0,0.0,0.0,sold out in window
0x4e07c454a626ad79c9bcc69d63126a5e831aeb85,2026-08-31T17:22:46Z,64108.72,1,184466.8549,0.0047786,11.83,1,184466.8549,0.00529684,13.11,0.00051824,1.28,0,0.0,0.0,sold out in window
0x8017e2c1c18c53ed52cbbeb58146d144dbfa66a3,2026-08-31T17:22:05Z,49432.55,1,184079.7138,0.00367692,9.1,1,184079.7138,0.00548889,13.58,0.00181196,4.48,0,0.0,0.0,sold out in window
0x80df80ca78ab59f50862b731d07074fc25af602e,2026-08-31T18:03:19Z,66988.03,1,182869.9565,0.00495,12.25,1,182869.9565,0.0061093,15.12,0.0011593,2.87,0,0.0,0.0,sold out in window
0x68ae5313beed3290871baec6ed194b3b94e30532,2026-08-31T17:29:17Z,55997.32,1,182379.9432,0.00412677,10.21,1,182379.9432,0.00469152,11.61,0.00056475,1.4,0,0.0,0.0,sold out in window
0xcc07398f9c1151e109725b1a81ecd513c4320078,2026-08-31T17:40:52Z,63963.61,1,179281.4523,0.00463376,11.47,1,179281.4523,0.00513283,12.7,0.00049907,1.24,0,0.0,0.0,sold out in window
0x1f1f4a6b8aae03ba76e7dfe14088b04df66c9769,2026-08-31T17:23:41Z,71945.28,2,178322.2121,0.00570981,14.13,2,178322.2121,0.00588092,14.55,0.00017111,0.42,0,0.0,0.0,sold out in window
0xa5080430bfb41658a64d58d648003ae8c00a57ab,2026-08-31T17:26:08Z,69944.19,1,176025.596,0.004975,12.31,1,176025.596,0.00421484,10.43,-0.00076016,-1.88,0,0.0,0.0,sold out in window
0x1fb4eda3ea19ee3f76d8df5e9543e2249764511d,2026-08-31T17:31:00Z,57154.35,1,174710.8461,0.00403492,9.99,1,174710.8461,0.00487129,12.06,0.00083637,2.07,0,0.0,0.0,sold out in window
0x343c09eb3afa757933a856404df1a57ba1cca95d,2026-08-31T17:24:01Z,71489.2,1,171355.9269,0.00495,12.25,1,171355.9269,0.00390728,9.67,-0.00104272,-2.58,0,0.0,0.0,sold out in window
0x0bee7f0f43eabe5b5e80f726ea1ebadac3f8471b,2026-08-31T17:24:04Z,68666.5,2,170019.4296,0.00502511,12.44,2,170019.4296,0.00457367,11.32,-0.00045144,-1.12,0,0.0,0.0,sold out in window
0xe19884eecfe2c8bc3c0dd03ca5700697bb24d1a3,2026-08-31T17:23:22Z,51207.12,1,167466.9456,0.00346517,8.58,1,167466.9456,0.00482176,11.93,0.00135659,3.36,0,0.0,0.0,sold out in window
0x598004ad54580ab8018093b71bb5075bbb8c0777,2026-08-31T18:04:45Z,58712.7,1,166915.813,0.00396,9.8,1,166915.813,0.00412644,10.21,0.00016644,0.41,0,0.0,0.0,sold out in window
0x943911639bc2832aa5faf8605dbee867a5139ea8,2026-08-31T18:13:26Z,57283.61,1,166629.7836,0.00385699,9.55,1,166629.7836,0.00523747,12.96,0.00138048,3.42,0.0,0.0,0.0,still holds
0xf52bf76795acb98804b016b13930415cdaa1f8b6,2026-08-31T17:29:10Z,54269.7,1,165210.3355,0.00362293,8.97,2,165210.3355,0.00422832,10.46,0.00060539,1.5,0,0.0,0.0,sold out in window
0x578254a9cc5b38cc786c67459473871a0f3be24b,2026-08-31T17:29:15Z,55897.06,1,164813.6541,0.00372261,9.21,1,164813.6541,0.00381372,9.44,9.111e-05,0.23,0,0.0,0.0,sold out in window
0xf70a3060cb42e7fcf6b9cedde171a313da2c3cce,2026-08-31T17:25:33Z,74646.36,1,164108.4559,0.00495,12.25,1,164108.4559,0.00368924,9.13,-0.00126076,-3.12,0.0,0.0,0.0,sold out in window
0xb08c06432c86e13066f7da2a07a6dc5385355d1c,2026-08-31T17:30:06Z,54349.54,1,162988.4792,0.00357947,8.86,1,162988.4792,0.00481273,11.91,0.00123326,3.05,0,0.0,0.0,sold out in window
0x408f30cd5f01f22df67234387a2a70c4399b83ba,2026-08-31T17:37:53Z,69374.55,1,159016.6153,0.00445767,11.03,1,159016.6153,0.00505397,12.51,0.0005963,1.48,0,0.0,0.0,sold out in window
0xb99ae3ead2498fc326217c790326dffa18695bba,2026-08-31T17:22:35Z,61783.71,1,158619.1343,0.00396,9.8,1,158619.1343,0.00344001,8.51,-0.00051999,-1.29,0,0.0,0.0,sold out in window
0xc8a7f07f5c242a8ddb72bee3700110a9793c5d68,2026-08-31T17:23:08Z,57059.58,1,156706.2403,0.0036131,8.94,1,156706.2403,0.00450861,11.16,0.00089551,2.22,0,0.0,0.0,sold out in window
0xb200bb672c75599e6141cc6aa1a4a9ddb9dfa6fc,2026-08-31T17:26:30Z,96036.25,1,155618.1681,0.00603895,14.95,1,155618.1681,0.00338213,8.37,-0.00265682,-6.58,0,0.0,0.0,sold out in window
0xc00a371cff98e2421ff68f9ff4d7c5dfd3a362a0,2026-08-31T17:23:25Z,55130.79,1,154288.3343,0.00343711,8.51,1,154288.3343,0.00382322,9.46,0.00038611,0.96,0,0.0,0.0,sold out in window
0x4e9972fcab44277f94b672cf29e5adb75a8657dc,2026-08-31T17:23:11Z,59085.48,2,150833.5995,0.00404639,10.01,2,150833.5995,0.00470586,11.65,0.00065947,1.63,0,0.0,0.0,sold out in window
0x4524c0204ef77def82b40a7d4a67649199f9e494,2026-08-31T18:03:17Z,66863.56,1,146568.3092,0.00396,9.8,1,146568.3092,0.00510148,12.62,0.00114148,2.82,0,0.0,0.0,sold out in window
0x5bc6fbd2a0cfe2880c52b0f1373f82097992ca84,2026-08-31T17:31:30Z,59884.39,4,145922.871,0.00411953,10.19,3,145922.871,0.00482188,11.93,0.00070235,1.74,0,0.0,0.0,sold out in window
0x86b0419091a9208ce49d0e91f472550bf8550a1f,2026-08-31T17:21:07Z,43742.57,2,144272.2172,0.00330086,8.17,2,144272.2172,0.00362963,8.98,0.00032876,0.81,0,0.0,0.0,sold out in window
0xa88e1122e49dba734da873f9aea24bd7a1d30270,2026-08-31T18:40:40Z,56399.34,1,141283.6742,0.00321982,7.97,1,141283.6742,0.00342929,8.49,0.00020947,0.52,0,0.0,0.0,sold out in window
0x2a5c0ff1363a77f34522160930e52e0828757b4b,2026-08-31T17:43:04Z,70465.88,1,140233.4601,0.00399297,9.88,1,140233.46,0.00428037,10.59,0.0002874,0.71,0.0001,0.0001,0.0,still holds
0xd1de80b4d0c20b86de125e12cbed09c0bee52937,2026-08-31T17:24:50Z,98134.72,1,140049.5982,0.00555354,13.74,1,140049.5982,0.00324583,8.03,-0.00230771,-5.71,0,0.0,0.0,sold out in window
0x553cbe61ca6a0338d2e4ca8e62ddf6a5c5596140,2026-08-31T17:37:45Z,69255.69,1,139450.1177,0.00390247,9.66,1,139450.1177,0.00397387,9.83,7.14e-05,0.18,0,0.0,0.0,sold out in window
0x3d1a37067968f7345b4dae26a24ca23948753e87,2026-08-31T17:24:15Z,63466.68,1,137119.9447,0.00351651,8.7,1,137119.9447,0.00462652,11.45,0.00111001,2.75,0.0,0.0,0.0,sold out in window
0xf15b21a2a98bfd16332476444f46cd4e8826300d,2026-08-31T17:24:20Z,67402.42,1,136129.2756,0.0037076,9.18,1,136129.2756,0.00446128,11.04,0.00075368,1.87,0,0.0,0.0,sold out in window
0xecb35b8117c12d7ed1f881fc097b8fc461f5769a,2026-08-31T17:36:41Z,67638.34,1,135891.3149,0.00371407,9.19,1,135891.3149,0.00430758,10.66,0.00059351,1.47,0,0.0,0.0,sold out in window
0x9c9f892f82dd5ff99e580eb96477bfa10e9e6df3,2026-08-31T17:52:28Z,74914.86,1,135687.5568,0.00410746,10.17,1,135687.5568,0.00403204,9.98,-7.542e-05,-0.19,0,0.0,0.0,sold out in window
0x875be8d1ffb8f3ebc2870e31fb64fc1119d12ff9,2026-08-31T17:54:44Z,87861.62,1,135495.5435,0.0048105,11.9,1,135495.5435,0.00293431,7.26,-0.00187618,-4.64,0,0.0,0.0,sold out in window
0xdadf5fcac132d98f3a1138e52f19822d45b7a0a7,2026-08-31T17:24:40Z,90953.03,1,134685.9867,0.00495,12.25,1,134685.9867,0.00293852,7.27,-0.00201148,-4.98,0,0.0,0.0,sold out in window
0x5395c838517e675cfb0e4e3ef7768c5b9917e5b7,2026-08-31T17:40:48Z,63853.05,1,134293.8072,0.003465,8.58,1,134293.8072,0.00443717,10.98,0.00097217,2.41,0,0.0,0.0,sold out in window
0xa539dce97221e588e8be15b8c3cc7dc8eda25195,2026-08-31T17:27:58Z,68458.84,1,133945.0965,0.00370529,9.17,1,133945.0965,0.00296874,7.35,-0.00073655,-1.82,0,0.0,0.0,sold out in window
