wallet,n_tokens,tokens,total_realized_usd,NTF_realized_usd,PONS_realized_usd,AI_realized_usd,QUANT_realized_usd,NTF_still_holding,PONS_still_holding,AI_still_holding,QUANT_still_holding,clusters
0x4a5a42ad93c38b21745664622cd1c4b8827c6788,2,AI+QUANT,9.1,,,9.1,0,,,False,False,
0x5a94bcee11ba77c68744269056c854f837b1d44e,2,AI+PONS,8.55,,8.55,0,,,True,False,,
0x9166ba373364df1834f220996fe0d3cef94981fe,2,AI+PONS,8.45,,8.45,0,,,False,False,,pons-s012 pons-s021 pons-s041
0xca052074fd3a5a7f199867cd00c9e439ba67f550,2,PONS+QUANT,7.79,,7.39,,0.41,,True,,False,quant-s001 pons-s008 pons-s019
0x21ed82825d54d5a339cdfc5ffd39f30e1e756472,2,AI+NTF,6.72,0.63,,6.09,,False,,False,,
0xa5f64c192ef53d38ce20a45e44c1d18c4de8a022,2,AI+PONS,6.49,,10.18,-3.7,,,False,False,,pons-s005 ai-s008 ai-s020
0xbad897f440f771672d9d9ad72f5d4adadaba60a9,2,AI+PONS,4.8,,6.6,-1.8,,,True,False,,pons-s023 pons-s029 ai-s006 ai-s011
0x466660f23409f663bce6e8b666957141abaf3912,2,AI+PONS,4.01,,4.18,-0.17,,,False,False,,pons-s034 ai-s026
0x6e2f02d431befe77d46adef447bbd5207890e667,2,AI+PONS,3.83,,-19.35,23.18,,,False,False,,
0xd4296b91f364debec60db641c105a7a72a7b8c90,2,AI+QUANT,3.25,,,3.25,0,,,False,True,
0xf4ea5d776eb9481fcc5e49a1e2fcb32d03dc1e2c,2,AI+NTF,2.66,-2.73,,5.39,,False,,False,,
0x67a5caf000cacc7315b45bd26685e01f6ed239bc,2,AI+PONS,1.7,,1.98,-0.28,,,False,False,,
0xdc387ae0f4d278fda60bbd9ead307d197ac769f1,2,AI+PONS,1.55,,6.02,-4.47,,,False,False,,pons-s007 pons-s034 ai-s009
0xbd4f9a28b8a15f862c67a0631fa8d327ad98e71b,2,AI+PONS,1.48,,1.25,0.23,,,False,False,,pons-s042 ai-s015 ai-s019
0x14d514a2c4630306ac8c097c9181037db46a36ba,2,AI+PONS,1.43,,-0.93,2.36,,,False,False,,
0x531c230288aa91a238e843c91f91a7a8c1186e85,2,AI+QUANT,0,,,0,0,,,False,True,
0x01e7b7efee5150b83b4448f85ffee9d9e867e3c4,2,AI+PONS,0,,0,0,,,True,True,,
0x247ce2933a28d4101ad237796dc8b612eb4a25f0,2,AI+PONS,0,,0,0,,,True,False,,
0x638efb1e677759c527c4ec5b877b665ddd0db692,2,AI+PONS,0,,0,0,,,False,False,,
0xb6bb4d9fc0baf9647cdf266a5111de8e0e7f6360,2,AI+PONS,0,,0,0,,,False,False,,
0xa97a91ed70b8bc8fd202d5e4704ade94e0acb8e0,2,AI+QUANT,0,,,0,0,,,False,False,
0x44fd29858679fbe01e5b91b23a7b2014098901fb,2,AI+PONS,-1.03,,4.25,-5.28,,,False,False,,pons-s035 ai-s033
0x0eb022517cb68789bda535aef86730a63579a94b,2,AI+PONS,-1.36,,0.44,-1.8,,,False,False,,pons-s039 ai-s008
