wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total,bought_before_crossing
HACKERamoyuTkkbuVnSWPNc5a5TDQH3U9vpp6zbrRKTe,1786828864,2026-08-15T21:21:04Z,33643.980548506064,1787491285,2026-08-23T13:21:25Z,17,13,19.029826119,24.668656694,16568639.150135571,16568734.968994426,0.0,5.638830575000001,425.5061551895,11040.35,True,30,True
2JuwsNWVYsr3jDEaSAMiMDfv5UWNWHQRGyQVvHBNCobC,1787074998,2026-08-18T17:43:18Z,42496.800258877,1787076308,2026-08-18T18:05:08Z,3,2,0.521937864,6.123359993,667474.921466146,666896.298065925,578.6234002209967,5.6018734220152115,422.7173684252678,21.83,False,5,False
777777UupVYr364fUHXwqBRMnNaVcpAw2z3uhFkspnNn,1786828865,2026-08-15T21:21:05Z,34041.60905400123,1787075436,2026-08-18T17:50:36Z,17,12,18.696490092999998,24.195643787999998,16006174.679261375,16006174.679261375,0.0,5.499153695,414.9661378247,4109.52,True,29,True
FAHMvDeWBEBe6fG653ChW7suaLVMQboS3hiaNqpejuBF,1787075301,2026-08-18T17:48:21Z,55815.4281890214,1787075363,2026-08-18T17:49:23Z,1,6,1.8274171620000002,7.089320224,1780570.149476331,1780570.149476331,0.0,5.261903062,397.06320505851994,1.03,True,7,False
4iDyxGxPRC66QBNwYqMn74VtVm5Moy1ns4w3bAqYGvRG,1786914703,2026-08-16T21:11:43Z,46424.79774462186,1787842851,2026-08-27T15:00:51Z,124,28,36.02531784000004,41.236158106000005,2490915.9253216884,2490915.9253216893,0.0,5.210840266000005,393.21000647236036,15469.13,True,152,False
XXXXXsiKfM49XohyATcrYbRYBd9WWhDRM7c7vMYQNSd,1787075276,2026-08-18T17:47:56Z,47220.31955078643,1787774423,2026-08-26T20:00:23Z,10,8,18.022376529,23.062537774,7063162.100555449,7063260.956388445,0.0,5.040161245000001,380.33056754770007,11652.45,True,18,False
Ahekwy9V7q2tmqJdTX92TAtEHM4pafQbsfc5oLakbZs1,1787075301,2026-08-18T17:48:21Z,56123.498940318656,1787500407,2026-08-23T15:53:27Z,27,39,13.862912218,18.754677942,1398462.3460178,1399669.4361214892,0.0,4.891765724,369.13264153304,7085.1,True,66,False
8NZq6z8y5697n1iqAqCHSwAKZeiT4M54JdmQ6rAjCJB1,1787075301,2026-08-18T17:48:21Z,55091.871761924755,1787075363,2026-08-18T17:49:23Z,1,6,1.6665642950000001,6.5513797799999995,1644728.694884565,1644728.694884565,0.0,4.884815484999999,368.6081764980999,1.03,True,7,False
JAGPLMkgPWRxFJekMU8DRHRurw968GGYHRMEKUWheYcD,1787075301,2026-08-18T17:48:21Z,56197.279996967416,1787500407,2026-08-23T15:53:27Z,27,39,13.012820957000002,17.847154318999998,1397728.1461215517,1398834.5837298837,0.0,4.834333361999995,364.79879549651963,7085.1,True,66,False
7kjxRWRMGGcRVPugDhCciUy11Xye9HuNmgffWRaDnAiS,1787075061,2026-08-18T17:44:21Z,42558.091801215225,1787520695,2026-08-23T21:31:35Z,5,2,9.617630697,8.498490093000001,77207.076440118,53175.703140352,24031.373299766004,4.5635346210000005,344.36432250066,7427.23,False,7,False
