wallet,trades,tokens_bought,tokens_sold,realized_pnl_eth,realized_pnl_usd,implied_balance,onchain_balance,balance_delta,remaining_tokens,unrealized_pnl_usd,still_holding,first_action_sell,first_buy_mcap_usd,price_block,price_usd,paths,balance_match,boundary_balance,boundary_delta,raw_net
0xd26960d6ab7869bc34f1ca3add02a12fabdea1c0,22,15696012.187952379,15422060.15151872,1.0686853295270033,1891.2737782801353,273952.0364336595,0.0,-273952.0364336595,273952.03643365955,0.0,False,False,19073.336231916208,51165960,0.2563271633796273,single,False,273952.0364336585,-9.89530235528946e-10,273952.0364336584
0x50d962cae840e09e485e3072389796bf40463917,3,15389179.756411651,15389179.756411651,0.9838248094571801,1741.094420535694,0.0,0.0,0.0,0,0.0,False,False,10246.293341864322,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0xca9b6e25083521c678606749bef11dbcf5d86f15,9,22319722.80495593,15053408.48462528,0.974433110215439,1724.4737427565203,7266314.32033065,0.0,-7266314.32033065,7266314.320330648,0.0,False,False,12725.621541798262,51165960,0.2563271633796273,single,False,7268963.425173469,2649.1048428192735,7268963.425173469
0x63d0d2323758d38b9d38f3dc74b343c8090c2ac2,9,19639623.889325052,9084866.455123084,0.9716648861229962,1719.5747612754537,10554757.434201969,0.0,-10554757.434201969,10554757.434201973,0.0,False,False,7808.2656868815175,51165960,0.2563271633796273,single,False,0.0,-10554757.434201969,-9.313225746154785e-10
0xc4da46c0db51f63fafaa062e1125691e050bf04f,22,14461833.924745556,14209422.7513336,0.9669437480527718,1711.219668911823,252411.17341195606,0.0,-252411.17341195606,252411.17341195565,0.0,False,False,20747.307195123838,51165960,0.2563271633796273,single,False,252411.1734119554,-6.693881005048752e-10,252411.1734119552
0x5cf9b3fc56305251f7737437c4ea9cd8bdbf8252,8,13400870.360184338,8804071.647145042,0.8763449797418583,1550.885218614142,4596798.713039296,0.0,-4596798.713039296,4596798.713039296,0.0,False,False,48659.18017427611,51165960,0.2563271633796273,single,False,4596798.713039296,0.0,4596798.713039296
0x8005d0bcac0602be4539ef050a78848d81fd94d5,8,17221656.942005303,17221656.942005303,0.8706286486896095,1540.7689133478655,0.0,0.0,0.0,0,0.0,False,False,5138.065356757649,51165960,0.2563271633796273,single,True,0.0,0.0,-1.862645149230957e-09
0xbba0795de52dcbc3563a4cdf294cd01ee4987159,10,16389316.497222612,16389316.497222612,0.8663837137727646,1533.256567218544,0.0,0.0,0.0,4.656612873077393e-10,0.0,False,False,5399.004829437363,51165960,0.2563271633796273,single,True,0.0,0.0,4.656612873077393e-10
0x4247c1314b83b58d5413b68ade81f6e013c91cb6,5,17189913.23107295,7838600.433369266,0.8121338809915402,1437.2495543210966,9351312.797703685,0.0,-9351312.797703685,9351312.797703687,0.0,False,False,24286.93685610894,51165960,0.2563271633796273,single,False,9351312.797703687,1.862645149230957e-09,9351312.797703687
0x731a615d6c512e642f2d4204502b7a9ce5298b64,4,17679251.935634665,13259438.951725999,0.7516490184553848,1330.2082847004692,4419812.983908666,0.0,-4419812.983908666,4419812.983908666,0.0,False,False,68130.53412466726,51165960,0.2563271633796273,single,False,4419812.983908666,0.0,4419812.983908666
